Time_sec,Voltage_V,Current_A,Temperature_C
0,4.187806026444477,-4.41188926192293,28.312524644740392
1,4.197866216898228,-4.031844635390776,27.976828072018648
2,4.204807069422476,-5.497580420266993,29.122657577134735
3,4.207911553143128,-4.893244178054414,28.82756759288332
4,4.201586852702728,-5.163983699039262,28.639737930533343
5,4.199135949274055,-5.310493973399945,28.591349492869938
6,4.213205236158602,-4.979854692743407,28.743108746652297
7,4.212920590146064,-4.571547116420605,28.102508404997437
8,4.187664437975221,-4.013159603966771,28.05908730625459
9,4.211005210961221,-5.244803596055502,28.232192207984664
10,4.201211414848052,-5.061396799973541,28.29051805289778
11,4.206370631733049,-5.365650856403022,28.889885656811018
12,4.195713966966414,-5.034027597740235,28.36517372326439
13,4.188330752783932,-4.46950232783003,28.172452381765584
14,4.172063969779189,-5.1496509952358815,28.373840809178233
15,4.186919621408809,-5.144095268380152,28.98421740434368
16,4.1890215743653,-5.020389780355958,28.41698589520243
17,4.184808080782212,-4.717666075464707,28.656255140637118
18,4.183715374648401,-5.296133123608695,28.58264971692194
19,4.1947603932370425,-5.542507743207789,28.97393206636397
20,4.197380703335897,-5.276582307313746,28.38967366756209
21,4.180916878651363,-5.46443778623543,28.68683658064605
22,4.212232317716163,-4.612452808862748,27.855369551286923
23,4.191059632005408,-4.471732519490063,28.474115120059903
24,4.207024358639529,-4.6134603963353875,27.973020687908548
25,4.184863543390437,-5.772646891170513,28.441762402438815
26,4.195802082584823,-5.035991341382369,28.356440743855753
27,4.1880663359463925,-4.91574340566623,28.218902218124292
28,4.185272432006334,-4.83544170258445,28.199983557615766
29,4.189444618769773,-5.6280505258546585,29.17254122195483
30,4.181901150273528,-3.986553982470991,27.89652885382681
31,4.185027981928,-4.535110652101635,28.541156620248664
32,4.187919842250268,-5.596162778700146,29.0111919440149
33,4.190025047121901,-4.944220048720371,28.434623791120313
34,4.196576270847085,-5.639167870727978,28.83021079795166
35,4.189377985515664,-4.222480302258222,27.99609725683732
36,4.206270693288841,-4.42617686746139,28.193027189961462
37,4.173496685402642,-5.182740525109595,28.631645745322484
38,4.1952080534488205,-4.790415563305002,28.18274590277072
39,4.184795817708613,-4.794603995326828,28.4732629391802
40,4.185732730234182,-5.393221110643288,28.819427413139394
41,4.1986644071414,-4.745227657541561,28.28365450910808
42,4.193083972636303,-4.67615991627689,28.326327792232455
43,4.194874879696148,-5.237151631420258,28.43467225363994
44,4.1814988441244045,-5.033994400729622,28.149873384142623
45,4.202079535129572,-5.927397155975067,29.249425479363286
46,4.180049655489885,-5.294095666639494,28.849679399701078
47,4.190309412832713,-5.448566064991185,28.975394596629776
48,4.191737745660348,-4.813777494623814,28.509937757614672
49,4.173747675482415,-4.4581557899300535,28.13460600293781
50,4.169820625639177,-5.766314410357505,29.664237837480396
51,4.175172592178449,-5.942810660248382,29.25148849971998
52,4.182699884229538,-4.945409209016551,28.203501459918034
53,4.197004089109862,-5.052516777626502,28.409134856013473
54,4.189133645952176,-4.735754346297259,28.184492915895504
55,4.174703474196053,-4.793884521897577,28.27374713430555
56,4.179609590792743,-4.980750201596427,28.383232625636747
57,4.184484527009833,-4.932473244576048,28.21064705662306
58,4.180748202420714,-5.102082387579002,28.160311037445737
59,4.197071785029666,-4.311268116321999,28.150241146718756
60,4.195085334978755,-4.682711305820213,28.72860808335452
61,4.186364304531893,-4.341116868845334,27.979529123958688
62,4.187938293784057,-4.1913529232339855,28.314929407701726
63,4.1831605460359045,-5.108772709011204,28.662118955298258
64,4.189229966188584,-4.745785722210593,28.436743300192774
65,4.183917974184168,-5.92794726816325,28.95028803011318
66,4.175016170378139,-5.611953733748537,28.611887908668287
67,4.1711894916431875,-4.947725207461042,28.735286371472412
68,4.177832531707671,-4.908103533952892,28.382455411947284
69,4.171699811759813,-5.455725379002622,29.263172661560205
70,4.184500626430073,-4.279046919992171,28.019564171206206
71,4.166235038417216,-4.96934585254238,28.370127459217155
72,4.184827659573084,-5.625334844196492,29.01847682284411
73,4.179217739673073,-6.28200606535845,29.61722445267516
74,4.175569821514937,-5.361944796896422,28.35878007091576
75,4.182195008716849,-5.231188599691498,28.908334748673187
76,4.181973525653798,-5.127357640872039,28.85337143432278
77,4.170237202775261,-4.689426456619327,28.023353831221783
78,4.173586510782986,-5.3540950468540975,28.286219787387836
79,4.166368588966075,-4.582924041858237,28.413416997152233
80,4.157400571914116,-5.339930172417029,29.00845108999977
81,4.191672727953918,-5.267253671832854,27.905463068975116
82,4.171185212979041,-4.757736041611705,28.479540796977318
83,4.187836985988971,-4.6706880569824545,28.22153990829248
84,4.179412264991842,-5.4997988117573104,28.768600804608305
85,4.174868607580876,-5.093157035625837,28.478064626051065
86,4.15078558795807,-4.464550725309955,27.971863106435322
87,4.195250447588496,-5.361601436149233,28.504956593597623
88,4.180880082531606,-4.538483788694258,28.188840147505488
89,4.152117126639988,-4.804570883964239,28.05969442573633
90,4.16266475624488,-5.8270546157061025,28.463464207956424
91,4.168804552318599,-5.313168849938088,28.882373201513207
92,4.167468835390523,-5.132287330106774,28.654449958783484
93,4.169650070662465,-4.70159193704018,28.00910488345781
94,4.1598445403885576,-4.686276871466019,28.22089584459205
95,4.187295942809611,-5.579071690122066,28.21517560082824
96,4.174657552787241,-4.55180641255214,28.38489394619409
97,4.17005327852905,-5.144410429699414,28.804343512789657
98,4.172364126874185,-5.648965194519961,28.919794339771844
99,4.171326912886542,-5.0368955730486515,28.830328710663103
100,4.181777944164383,-5.864926303878681,28.73779079013857
101,4.1696453990863995,-4.3777286135773865,28.006455240825076
102,4.171995365500514,-5.154103752294485,28.656042308855987
103,4.1775681163518845,-5.412539759923757,29.281397746653294
104,4.167288218908604,-5.624763705499804,28.858033097381647
105,4.159618492339146,-4.6851219908879935,27.87453821946525
106,4.1590582801249765,-5.299299676215109,28.320471758210818
107,4.151244461014406,-4.637918337741956,28.51394059685781
108,4.154626543450772,-4.009809816826791,27.617094785532085
109,4.164416242139726,-5.177692447497294,28.63204176224109
110,4.174380542749493,-4.949638975056048,28.214176191871264
111,4.163840650041091,-5.021122611034004,28.341219670065538
112,4.185147252581679,-5.367659347236673,28.883897177944384
113,4.166138667511628,-5.123933647507405,28.30774726815329
114,4.166788061910368,-4.9026761226059525,28.16517506080322
115,4.163486386209376,-4.542687815489859,28.61044438897744
116,4.162006772541135,-4.558248836372724,27.778724548321794
117,4.165434720907254,-4.9853296009648576,28.854322355405362
118,4.159540300867194,-5.208686797930366,28.80025174797185
119,4.147611559624602,-5.552471493009709,28.872879802934754
120,4.1694877208623105,-5.42862424477494,28.96235979263716
121,4.179081837593295,-4.955927400689444,28.204284387924467
122,4.171142214988542,-3.853804942656537,27.10330188801514
123,4.151377977341021,-5.402356120823235,28.824675832824138
124,4.167705722522701,-5.054356081331374,28.293113545821594
125,4.160590417552687,-5.806990345042381,28.764383968698066
126,4.155929674414723,-5.309672048597824,28.371185977210462
127,4.146197265789501,-5.089228000872507,29.2990977393945
128,4.1721994781436305,-4.314684055672888,28.065195140956128
129,4.144923387587076,-4.96945384932899,28.33198623360204
130,4.176443373708848,-5.3310225971149094,28.902947362440415
131,4.148933073466387,-5.003534850721457,28.9980383299106
132,4.15814250311913,-5.655021327393832,28.591826673291017
133,4.164005513159219,-5.693833138958111,28.69470103585608
134,4.161322231268348,-4.930541108671091,28.726971313807297
135,4.151837403046409,-5.005687665660265,28.28540904103289
136,4.147988990752861,-5.214137499216539,28.447821735653957
137,4.16270742155323,-4.05388119306739,27.387718346774125
138,4.144020979480354,-4.827108047868966,28.477959601898725
139,4.157663848539152,-4.522625315921653,27.8352361982047
140,4.14654143370808,-4.222988655311364,28.222382171820332
141,4.163032282071408,-4.439066777061296,29.11638825095991
142,4.15227098316821,-5.663252890280463,28.71672647836608
143,4.150134559912456,-4.437558491681993,27.975490549823334
144,4.153771128138357,-4.985295244306935,28.753521428708584
145,4.161517395054922,-6.565139758375539,29.861168137494367
146,4.167891090942507,-5.554120170876837,29.08115911887838
147,4.174220223854275,-4.769870103643347,28.490779844999494
148,4.140117645633707,-4.636246179889191,28.220097056799872
149,4.148837414478826,-5.130565360152781,28.67116484511934
150,4.145550863311946,-5.1044627834509075,28.649402871147384
151,4.15851041864459,-5.05548450322323,28.509997906377315
152,4.177035909506442,-5.7824077338454964,29.23973460394828
153,4.14674640121391,-4.996708614120615,28.55573665881773
154,4.133874620732657,-4.7679184380417015,28.05109046486018
155,4.150367659722758,-4.226040477470337,27.94715293512099
156,4.1519272339264965,-5.011353286411437,28.32062601244883
157,4.130937836181995,-4.856196845527959,29.411246118970187
158,4.1360273129895795,-4.862607316693066,28.644770504262752
159,4.167512168992069,-4.745921551967352,28.349172353015195
160,4.155521466312586,-5.298877343086575,28.89885997095599
161,4.122930975428023,-4.952915470094721,28.683616251572563
162,4.138124583982998,-5.684392347294995,28.78165460163214
163,4.148923624466167,-4.686452532891421,27.96903229695978
164,4.153197716242241,-5.0662548878773785,28.51283408548577
165,4.130733707027386,-4.76605630662885,28.187916244594085
166,4.131252633498048,-4.242143839497439,27.44779354661549
167,4.138000026795255,-4.8069137209325765,27.735154182521757
168,4.151023335046965,-5.161190153398922,28.714730990376907
169,4.1453229952026645,-5.264166764140198,28.38358169919486
170,4.108995929602315,-5.7026209371058965,28.94261189653638
171,4.132088965200485,-4.842035070515002,28.417245090230946
172,4.160671241428774,-5.079243018676397,28.61949851552556
173,4.139614626710997,-4.924141058325306,28.408290385524296
174,4.136231216595772,-4.192794630276888,27.986856122543582
175,4.154116810563973,-4.089236016748915,27.70831687737941
176,4.13957570557955,-5.671468174124636,29.042850135115312
177,4.136182764429991,-4.149950459740321,28.13867524436223
178,4.137243383511636,-4.483361594066697,28.092717678834035
179,4.160178507147741,-4.594635971003955,28.217327777883046
180,4.1425854867975085,-4.997482080401997,28.744322859941683
181,4.144583348507135,-4.9985675971014105,28.3915556869641
182,4.1427593141331505,-4.89430551999259,28.067065739163507
183,4.155355406735496,-5.176624291351181,28.49933624604175
